REDUX REFERENCE,PROGRAMME NAME,DESCRIPTION,DATE,CHANNEL,DURATION,NOTES,,,,,,,,,,,,,,,,,
13945990360766607614,A BITTER PILL,Docu: Parents of children who've died from drug errors tell their stories,9/13/99,BBC1,,,,,,
'2347137209489486576,AGAINST ALL ODDS,Docudrama: SNATCHED,10/25/94,BBC1,,,,,,
'9486177672689121259,BEFORE I DIE,People facing death explain their feelings: WHAT ABOUT THE CHILDREN?,1/30/97,BBC2,,,,,,
14471051882508141864,BEFORE I DIE,People facing death explain their feelings: A MATTER OF LIFE AND SEX,2/13/97,BBC2,,,,,,
'16811670256315849301,BEFORE I DIE,People facing death explain their feelings: COME AND KILL ME,2/20/97,BBC2,,,,,,
'14634322519015753044,BEFORE I DIE,People facing death explain their feelings: HANGIN' IN THERE,2/27/97,BBC2,,,,,,
'14338920645015385158,BITEBACK,Viewers voice their concerns about BBC programmes,10/27/96,BBC1,,,,,,
'11825767523009499580,BITEBACK,Viewers voice their concerns about BBC programmes,9/15/96,,,,,,,
'14223493893119847043,COUNTERBLAST,People challenge conventional wisdom on subjects: DEATH TO THE MONARCHY,4/13/99,BBC2,,,,,,
'8524193982520678329,FACE TO FACE,One-to-one interview series: YOKO ONO,2/16/98,BBC Two,,,,,,
14759663742529663035,FINE CUT,Feature-length docus: IN THE LAND OF THE DEAF,1/16/93,BBC2,,,,,,
13432118575321126437,FINE CUT,Feature-length docus: MEMORIES AND DREAMS,1/30/93,BBC2,,,,,,
'9414978972653531482,FINE CUT,Feature-length docus: DREAM DECEIVERS:THE STORY BEHIND JAMES VANCE V JUDAS PRIEST,6/3/94,BBC2,,,,,,
'13500378821168104844,FINE CUT,Feature-length docus: MADAME L'EAU,7/9/94,BBC2,,,,,,
'6746529297744482824,FINE CUT,Feature-length docus: FINE CUT SPECIAL:GENERAL IDI AMIN DADA,7/23/95,BBC2,,,,,,
4045178639399159343,FORTY MINUTES,THE AGONY OF THE ECSTACY:100 YEARS OF SEX ADVICE,4/13/93,BBC2,,,,,,
'9437799568409244376,FORTY MINUTES,LIVING IN A BOOM TIME,4/12/94,BBC2,,,,,,
'17758414729531496991,CHANGING ROOMS,EASTBOURNE,9/28/99,BBC2,,,,,,
18446068406051510125,LOUIS THEROUX'S WEIRD WEEKENDS,The docu maker meets people preparing for global catastrophe: HEAD FOR THE HILLS,2/5/98,BBC2,,,,,,
